indicator,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
"Marriage registration (10,000 couples)",683.5,764.3,814.33,927.33,1013.94,1063.1,1142.82,1224.71,1306.74,1346.93,1323.59,1302.36,1241,1212.4,1098.3,991.4,945,823.1,867.2
"Marriage registration of mainland residents (10,000 couples)",681.86,762.7,812.6,922.39,1009.11,1059.04,1138.61,1220.59,1302.04,1341.43,1318.27,1297.48,1236.1,1207.5,1093.2,986.3,938.2,816.6,860.8
"First marriage registration of mainland residents (10,000 people)",1051.76,1157.8,1228.6,1398.71,1598.67,1746.33,1913.26,2108.97,2286.81,2385.96,2361.17,2309.88,2200.9,2168.8,1972.5,1779.7,1705.6,1483,1569.6
"Remarriage registration of mainland residents (10,000 people)",315.24,370.8,400.07,455.94,429.22,379.86,372.39,340.44,326.68,307.89,286.02,294.85,281.1,256,224.1,203.1,184.4,163.1,152
"Marriage registration for foreigners and residents of Hong Kong, Macao and Taiwan (10,000 couples)",1.64,1.6,1.74,4.94,4.84,4.05,4.22,4.12,4.7,5.5,5.33,4.88,4.9,4.92,5.1,5.11,6.82,6.43,6.35
"Divorce registration (10,000 couples)",287.92,283.93,433.9,470.06,446.08,437.4,415.82,384.14,363.68,350.01,310.38,287.4,267.8,246.8,226.9,209.8,191.3,178.5,166.5
Crude divorce rate (бы),2.04,2.01,3.09,3.36,3.2,3.15,3.02,2.79,2.67,2.57,2.29,2.13,2,1.85,1.71,1.59,1.46,1.37,1.28
